Full_Name,Registered_Year,Transmission_Type,Fuel_Type,Max_Power,Resale_Price
2017 Maruti Baleno 1.2 Alpha,2017,Manual,Petrol,83.1bhp,6540.0
2018 Tata Hexa XTA,2018,Automatic,Diesel,153.86bhp,12000.0
2015 Maruti Swift Dzire VXI,2015,Manual,Petrol,83.14bhp,5400.0
2015 Maruti Swift Dzire VXI,2015,Manual,Petrol,83.14bhp,5400.0
2009 Hyundai i10 Magna 1.1,2009,Manual,Petrol,68.05bhp,1920.0
2015 Hyundai i20 Active 1.2,2015,Manual,Petrol,81.86bhp,5640.0
2017 Tata Tiago 1.05 Revotorq XZ,2017,Manual,Diesel,69bhp,4320.0
2010 Hyundai i10 Magna 1.1,2010,Manual,Petrol,68.05bhp,2400.0
2016 Maruti Eeco 7 Seater Standard BSIV,2016,Manual,Petrol,73bhp,4440.0
2009 Hyundai Santro Xing GL,2009,Manual,Petrol,62bhp,1440.0
2014 Honda Amaze E i-Vtech,2014,Manual,Petrol,86.7bhp,3960.0
2018 Hyundai Xcent 1.2 VTVT SX,2018,Manual,Petrol,81.86bhp,5700.0
2020 Maruti Ciaz Sigma BSIV,2020,Manual,Petrol,103.25bhp,8232.0
2021 Hyundai Venue SX Opt Executive Diesel,2021,Manual,Diesel,98.6bhp,15000.0
2021 Hyundai Venue SX Dual Tone Diesel BSIV,2021,Manual,Diesel,89bhp,13200.0
2019 Maruti Alto K10 VXI AGS Optional,2019,Automatic,Petrol,67.1bhp,4740.0
2016 Maruti Wagon R LXI CNG,2016,Manual,CNG,58.16bhp,4200.0
2011 Toyota Etios VX,2011,Manual,Petrol,88.7bhp,3468.0
2011 Toyota Corolla Altis Diesel D4DGL,2011,Manual,Diesel,87.2bhp,3384.0
2021 Kia Sonet HTX Plus Turbo iMT BSVI,2021,Manual,Petrol,118.36bhp,12000.0
2020 Maruti Ciaz Alpha BSVI,2020,Manual,Petrol,103.25bhp,9420.0
2014 Ford Ecosport 1.5 DV5 MT Ambiente,2014,Manual,Diesel,89.84bhp,3600.0
2011 Mitsubishi Outlander 2.4,2011,Automatic,Petrol,170PS,4764.0
2015 Maruti Swift Dzire VDI,2015,Manual,Diesel,74bhp,4500.0
2011 Maruti Alto K10 LXI,2011,Manual,Petrol,67.1bhp,1200.0
2011 Mitsubishi Outlander 2.4,2011,Automatic,Petrol,170PS,4764.0
2021 Maruti Baleno Zeta,2021,Manual,Petrol,81.80bhp,8100.0
2018 Hyundai Xcent 1.2 VTVT SX,2018,Manual,Petrol,81.86bhp,5580.0
2015 Maruti Swift Dzire VXI,2015,Manual,Petrol,83.14bhp,5760.0
2014 Maruti Alto 800 LXI,2014,Manual,Petrol,47.3bhp,2700.0
2016 Maruti Wagon R VXI Optional,2016,Manual,Petrol,67.04bhp,3840.0
2015 Hyundai Grand i10 Sportz,2015,Manual,Petrol,82bhp,4980.0
2012 Maruti Swift VDI,2012,Manual,Diesel,74bhp,2880.0
2013 Mahindra XUV500 W6 2WD,2013,Manual,Diesel,140bhp,4200.0
2013 Mahindra XUV500 W6 2WD,2013,Manual,Diesel,140bhp,4200.0
2013 Tata New Safari DICOR 2.2 EX 4x2,2013,Manual,Diesel,138.1bhp,3552.0
2013 Tata New Safari DICOR 2.2 EX 4x2,2013,Manual,Diesel,138.1bhp,3552.0
2018 Tata Tiago 1.2 Revotron XE,2018,Manual,Petrol,84bhp,3792.0
2017 Maruti Vitara Brezza ZDi Plus Dual Tone,2017,Manual,Diesel,88.5bhp,9000.0
2019 Maruti Ertiga VDI,2019,Manual,Diesel,88.50bhp,10800.0
2022 Maruti Celerio VXI BSVI,2022,Manual,Petrol,65.71bhp,6720.0
2017 Maruti Vitara Brezza ZDi Plus,2017,Manual,Diesel,88.5bhp,9600.0
2017 Hyundai Creta 1.4 E Plus,2017,Manual,Diesel,88.7bhp,10800.0
2019 Maruti Alto 800 LXI,2019,Manual,Petrol,47.33bhp,3360.0
2013 Toyota Innova 2.5 E Diesel MS 7-seater,2013,Manual,Diesel,100.6bhp,6600.0
2009 Toyota Innova 2.5 G (Diesel) 7 Seater BS III,2009,Manual,Diesel,102,3000.0
2011 Tata Manza Aqua Quadrajet,2011,Manual,Diesel,90 PS,1800.0
2011 Tata Manza Aqua Quadrajet,2011,Manual,Diesel,90 PS,1800.0
2017 Hyundai Grand i10 1.2 CRDi Sportz Option,2017,Manual,Diesel,73.97bhp,5760.0
2017 Maruti Eeco CNG 5 Seater AC BSIV,2017,Manual,CNG,61.7bhp,3600.0
2017 Maruti Eeco CNG 5 Seater AC BSIV,2017,Manual,CNG,61.7bhp,3600.0
2017 Maruti Eeco CNG 5 Seater AC BSIV,2017,Manual,CNG,61.7bhp,3600.0
2014 Audi A4 2.0 TDI,2014,Automatic,Diesel,147.51bhp,14400.0
2022 Hyundai i20 Sportz BSVI,2022,Manual,Petrol,81.80bhp,9600.0
2012 Volkswagen Polo Diesel Trendline 1.2L,2012,Manual,Diesel,73.9bhp,2400.0
2019 Maruti Vitara Brezza VDi,2019,Manual,Diesel,88.5bhp,8880.0
2009 Hyundai Santro Xing GLS,2009,Manual,Petrol,62.1bhp,1800.0
2016 Maruti Swift Dzire VDI,2016,Manual,Diesel,74bhp,6240.0
2010 Hyundai i10 Sportz 1.2,2010,Manual,Petrol,78.9bhp,2040.0
2021 Hyundai Venue S BSIV,2021,Manual,Petrol,81.86bhp,8520.0
2021 Skoda Rapid 1.0 TSI Onyx,2021,Manual,Petrol,108.62bhp,11400.0
2013 Ford Figo Diesel ZXI,2013,Manual,Diesel,68.05bhp,2880.0
2021 Skoda Rapid 1.0 TSI Onyx,2021,Manual,Petrol,108.62bhp,11160.0
2022 MG Hector Plus Select Diesel MT 7 STR,2022,Manual,Diesel,167.67bhp,23064.0
2013 Hyundai EON D Lite,2013,Manual,Petrol,55.2bhp,1800.0
2015 Hyundai Grand i10 Magna,2015,Manual,Petrol,82bhp,4560.0
