Manuf,Model,Desc,Fuel_Type,Fuel_Cost,Electric_Cost,Total_Cost,Noise_Level
ABARTH,595,595 1.4 145 BHP Convertible,Petrol,1547.432487852163,0.0,1547.432487852163,73.5
ABARTH,595,595 1.4 145 BHP Convertible,Petrol,1633.8008127555397,0.0,1633.8008127555397,73.5
ABARTH,595,595 1.4 145 BHP Hatchback,Petrol,1547.432487852163,0.0,1547.432487852163,73.5
ABARTH,595,595 1.4 145 BHP Hatchback,Petrol,1633.8008127555397,0.0,1633.8008127555397,73.5
ABARTH,595,595 1.4 TJET 145bhp,Petrol,1461.8638696608548,0.0,1461.8638696608548,74.0
ABARTH,595,595 1.4 TJET 145bhp,Petrol,1525.8404066263188,0.0,1525.8404066263188,74.0
ABARTH,595,595 COMPETIZIONE 1.4 TJET 180bhp,Petrol,1482.6562441746305,0.0,1482.6562441746305,72.0
ABARTH,595,595 COMPETIZIONE 1.4 TJET 180bhp,Petrol,1504.2483254004749,0.0,1504.2483254004749,74.0
ABARTH,595,595 COMPETIZIONE 1.4 TJET 180bhp,Petrol,1569.024569078007,0.0,1569.024569078007,74.0
ABARTH,595,595 COMPETIZIONE 1.4 TJET 180bhp Convertible,Petrol,1482.6562441746305,0.0,1482.6562441746305,72.0
ABARTH,595,595 COMPETIZIONE 1.4 TJET 180bhp Convertible,Petrol,1504.2483254004749,0.0,1504.2483254004749,74.0
ABARTH,595,595 COMPETIZIONE 1.4 TJET 180bhp Convertible,Petrol,1569.024569078007,0.0,1569.024569078007,74.0
ABARTH,595,595 Competizione 180 BHP Convertible,Petrol,1676.1852684951593,0.0,1676.1852684951593,74.0
ABARTH,595,595 Competizione 180 BHP Hatchback,Petrol,1654.5931872693156,0.0,1654.5931872693156,71.5
ABARTH,595,595 Competizione 180 BHP Hatchback,Petrol,1676.1852684951593,0.0,1676.1852684951593,74.0
ABARTH,595,595 ESSEESSE 1.4 TJET 180bhp,Petrol,1482.6562441746305,0.0,1482.6562441746305,72.0
