indicator_id,name,measure,geo_type_name,geo_join_id,data_value,geo_place_name,measure_info,time_period,message,start_date,unique_id
643,Annual vehicle miles traveled,million miles,CD,107,50.00,Upper West Side (CD7),per km2,2016,,2016-01-01T00:00:00.000,325247
652,Cardiac and respiratory deaths due to Ozone,Estimated annual rate,Borough,5,7.80,Staten Island,"per 100,000",2005-2007,,2005-01-01T00:00:00.000,131026
652,Cardiac and respiratory deaths due to Ozone,Estimated annual rate,UHF42,504,7.50,South Beach - Tottenville,"per 100,000",2005-2007,,2005-01-01T00:00:00.000,131020
647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,Borough,5,2.30,Staten Island,µg/m3,2005,,2005-01-01T00:00:00.000,130780
647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,UHF42,211,3.10,Williamsburg - Bushwick,µg/m3,2005,,2005-01-01T00:00:00.000,130750
648,Asthma emergency department visits due to PM2.5,Estimated annual rate (under age 18),Borough,5,55.30,Staten Island,"per 100,000 children",2005-2007,,2005-01-01T00:00:00.000,130834
375,Nitrogen dioxide (NO2),Mean,UHF34,205,27.68,Sunset Park,ppb,Winter 2013-14,,2013-12-01T00:00:00.000,211560
375,Nitrogen dioxide (NO2),Mean,UHF34,205,30.17,Sunset Park,ppb,Winter 2008-09,,2008-12-01T00:00:00.000,171567
386,Ozone (O3),Mean,UHF34,205,30.60,Sunset Park,ppb,Summer 2014,,2014-06-01T00:00:00.000,221842
375,Nitrogen dioxide (NO2),Mean,Borough,5,18.92,Staten Island,ppb,Winter 2017-18,,2017-12-01T00:00:00.000,602701
375,Nitrogen dioxide (NO2),Mean,Borough,5,21.63,Staten Island,ppb,Winter 2008-09,,2008-12-01T00:00:00.000,179272
375,Nitrogen dioxide (NO2),Mean,Borough,5,11.92,Staten Island,ppb,Annual Average 2019,,2019-01-01T00:00:00.000,643315
375,Nitrogen dioxide (NO2),Mean,CD,107,31.00,Upper West Side (CD7),ppb,Winter 2013-14,,2013-12-01T00:00:00.000,213229
375,Nitrogen dioxide (NO2),Mean,UHF42,104,15.47,Pelham - Throgs Neck,ppb,Annual Average 2019,,2019-01-01T00:00:00.000,643327
375,Nitrogen dioxide (NO2),Mean,UHF42,104,22.91,Pelham - Throgs Neck,ppb,Winter 2017-18,,2017-12-01T00:00:00.000,602713
375,Nitrogen dioxide (NO2),Mean,UHF42,104,25.82,Pelham - Throgs Neck,ppb,Winter 2013-14,,2013-12-01T00:00:00.000,212293
643,Annual vehicle miles traveled,million miles,UHF42,104,22.80,Pelham - Throgs Neck,per km2,2005,,2005-01-01T00:00:00.000,151626
643,Annual vehicle miles traveled,million miles,Borough,5,9.70,Staten Island,per km2,2016,,2016-01-01T00:00:00.000,325197
375,Nitrogen dioxide (NO2),Mean,UHF42,104,27.61,Pelham - Throgs Neck,ppb,Winter 2008-09,,2008-12-01T00:00:00.000,175252
375,Nitrogen dioxide (NO2),Mean,UHF34,205,25.26,Sunset Park,ppb,Annual Average 2009,,2008-12-01T00:00:00.000,172587
365,Fine particles (PM 2.5),Mean,Borough,5,11.78,Staten Island,mcg/m3,Winter 2013-14,,2013-12-01T00:00:00.000,211409
